timestamp,protocol,scheme,kem,signature,client_ip,server_ip,cond_profile,latency_ms,handshake_ms,throughput_mbps,cpu_pct,mem_mb,packet_loss_pct
2025-10-24T08:44:12-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.186,5.32,NA,NA,NA,0
2025-10-24T08:44:13-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.022,4.23,NA,NA,NA,0
2025-10-24T08:44:14-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,6.750,5.82,NA,NA,NA,0
2025-10-24T08:44:15-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.139,6.41,NA,NA,NA,0
2025-10-24T08:44:16-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.601,5.34,NA,NA,NA,0
2025-10-24T08:44:18-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,6.323,4.73,NA,NA,NA,0
2025-10-24T08:44:19-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.443,4.53,NA,NA,NA,0
2025-10-24T08:44:26-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.268,4.63,220.69,19.24,3.06,0
2025-10-24T08:44:27-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,6.511,4.67,NA,NA,NA,0
2025-10-24T08:44:28-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.970,16.2,NA,NA,NA,0
2025-10-24T08:44:29-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.742,4.74,NA,NA,NA,0
2025-10-24T08:44:30-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,8.711,4.60,NA,NA,NA,0
2025-10-24T08:44:32-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.024,4.36,NA,NA,NA,0
2025-10-24T08:44:33-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.210,5.26,NA,NA,NA,0
2025-10-24T08:44:34-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.806,4.95,NA,NA,NA,0
2025-10-24T08:44:35-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.061,5.31,NA,NA,NA,0
2025-10-24T08:44:36-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.150,5.68,NA,NA,NA,0
2025-10-24T08:44:37-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.670,18.0,NA,NA,NA,0
