timestamp,algorithm,class,operation,time_ms,ops_per_sec,notes
2025-11-09T18:46:29+00:00,RSA-2048,sig,verify,0.0173,57696.30,classical
2025-11-09T18:46:35+00:00,RSA-2048,sig,sign,0.6113,1635.80,classical
2025-11-09T18:46:35+00:00,RSA-2048,sig,verify,0.0169,59259.30,classical
2025-11-09T18:46:41+00:00,RSA-2048,sig,sign,0.6048,1653.40,classical
2025-11-09T18:46:41+00:00,RSA-2048,sig,verify,0.0169,59332.40,classical
2025-11-09T18:46:47+00:00,RSA-2048,sig,sign,0.6148,1626.60,classical
2025-11-09T18:46:47+00:00,RSA-2048,sig,verify,0.0173,57679.50,classical
2025-11-09T18:46:53+00:00,RSA-2048,sig,sign,0.6109,1637.00,classical
2025-11-09T18:46:53+00:00,RSA-2048,sig,verify,0.0169,59234.30,classical
2025-11-09T18:46:59+00:00,RSA-2048,sig,sign,0.6043,1654.70,classical
2025-11-09T18:46:59+00:00,RSA-2048,sig,verify,0.0171,58465.40,classical
2025-11-09T18:47:05+00:00,RSA-2048,sig,sign,0.6198,1613.50,classical
2025-11-09T18:47:05+00:00,RSA-2048,sig,verify,0.0195,51160.20,classical
2025-11-09T18:47:11+00:00,RSA-2048,sig,sign,0.6243,1601.70,classical
2025-11-09T18:47:11+00:00,RSA-2048,sig,verify,0.0172,58194.30,classical
2025-11-09T18:47:17+00:00,RSA-2048,sig,sign,0.6077,1645.60,classical
2025-11-09T18:47:17+00:00,RSA-2048,sig,verify,0.0175,57185.50,classical
2025-11-09T18:47:23+00:00,RSA-2048,sig,sign,0.6016,1662.30,classical
2025-11-09T18:47:23+00:00,RSA-2048,sig,verify,0.0170,58863.10,classical
2025-11-09T18:47:29+00:00,RSA-2048,sig,sign,0.5956,1678.90,classical
2025-11-09T18:47:29+00:00,RSA-2048,sig,verify,0.0171,58456.80,classical
2025-11-09T18:47:35+00:00,RSA-2048,sig,sign,0.5950,1680.70,classical
2025-11-09T18:47:35+00:00,RSA-2048,sig,verify,0.0166,60391.20,classical
2025-11-09T18:47:41+00:00,RSA-2048,sig,sign,0.6057,1651.00,classical
2025-11-09T18:47:41+00:00,RSA-2048,sig,verify,0.0166,60332.70,classical
2025-11-09T18:47:47+00:00,RSA-2048,sig,sign,0.6475,1544.40,classical
2025-11-09T18:47:47+00:00,RSA-2048,sig,verify,0.0171,58370.50,classical
2025-11-09T18:47:53+00:00,RSA-2048,sig,sign,0.6356,1573.40,classical
2025-11-09T18:47:53+00:00,RSA-2048,sig,verify,0.0169,59071.80,classical
2025-11-09T18:47:59+00:00,RSA-2048,sig,sign,0.5981,1672.10,classical
2025-11-09T18:47:59+00:00,RSA-2048,sig,verify,0.0169,59084.20,classical
2025-11-09T18:48:06+00:00,RSA-2048,sig,sign,0.5979,1672.50,classical
2025-11-09T18:48:06+00:00,RSA-2048,sig,verify,0.0167,59833.00,classical
2025-11-09T18:48:12+00:00,RSA-2048,sig,sign,0.5923,1688.20,classical
2025-11-09T18:48:12+00:00,RSA-2048,sig,verify,0.0167,59821.30,classical
2025-11-09T18:48:18+00:00,RSA-2048,sig,sign,0.5957,1678.80,classical
2025-11-09T18:48:18+00:00,RSA-2048,sig,verify,0.0170,58922.80,classical
2025-11-09T18:48:24+00:00,RSA-2048,sig,sign,0.6032,1657.90,classical
2025-11-09T18:48:24+00:00,RSA-2048,sig,verify,0.0168,59653.90,classical
2025-11-09T18:48:30+00:00,RSA-2048,sig,sign,0.5941,1683.10,classical
2025-11-09T18:48:30+00:00,RSA-2048,sig,verify,0.0171,58323.20,classical
2025-11-09T18:48:36+00:00,RSA-2048,sig,sign,0.5975,1673.70,classical
2025-11-09T18:48:36+00:00,RSA-2048,sig,verify,0.0166,60147.00,classical
2025-11-09T18:48:42+00:00,RSA-2048,sig,sign,0.5931,1686.10,classical
2025-11-09T18:48:42+00:00,RSA-2048,sig,verify,0.0167,59877.90,classical
2025-11-09T18:48:48+00:00,RSA-2048,sig,sign,0.5960,1677.90,classical
2025-11-09T18:48:48+00:00,RSA-2048,sig,verify,0.0187,53426.40,classical
2025-11-09T18:48:54+00:00,RSA-2048,sig,sign,0.6775,1476.10,classical
2025-11-09T18:48:54+00:00,RSA-2048,sig,verify,0.0167,59994.30,classical
2025-11-09T18:49:00+00:00,RSA-2048,sig,sign,0.5942,1682.80,classical
2025-11-09T18:49:00+00:00,RSA-2048,sig,verify,0.0169,59002.30,classical
2025-11-09T18:49:06+00:00,RSA-2048,sig,sign,0.6010,1663.80,classical
2025-11-09T18:49:06+00:00,RSA-2048,sig,verify,0.0166,60302.00,classical
2025-11-09T18:49:12+00:00,RSA-2048,sig,sign,0.5994,1668.20,classical
2025-11-09T18:49:12+00:00,RSA-2048,sig,verify,0.0176,56818.50,classical
2025-11-09T18:49:18+00:00,RSA-2048,sig,sign,0.6059,1650.50,classical
2025-11-09T18:49:18+00:00,RSA-2048,sig,verify,0.0167,59838.90,classical
2025-11-09T18:49:24+00:00,Ed25519,sig,sign,0.0397,25158.40,classical
2025-11-09T18:49:24+00:00,Ed25519,sig,verify,0.1081,9250.00,classical
2025-11-09T18:49:30+00:00,Ed25519,sig,sign,0.0396,25259.30,classical
2025-11-09T18:49:30+00:00,Ed25519,sig,verify,0.1122,8914.50,classical
2025-11-09T18:49:36+00:00,Ed25519,sig,sign,0.0399,25051.50,classical
2025-11-09T18:49:36+00:00,Ed25519,sig,verify,0.1078,9275.30,classical
2025-11-09T18:49:43+00:00,Ed25519,sig,sign,0.0396,25272.30,classical
2025-11-09T18:49:43+00:00,Ed25519,sig,verify,0.1065,9387.80,classical
2025-11-09T18:49:49+00:00,Ed25519,sig,sign,0.0418,23926.00,classical
