cond_profile,protocol,scheme,metric,value,Q1,Q3,IQR,lower_bound,upper_bound,group_mean,group_median,timestamp,ratio_to_mean
adverse,IPsec,classic,handshake_ms,2002.38,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:27:10-05:00,2.53
adverse,IPsec,classic,handshake_ms,1999.32,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:48:07-05:00,2.53
adverse,IPsec,classic,handshake_ms,1997.49,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:02:13-05:00,2.52
adverse,IPsec,classic,handshake_ms,1994.92,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:21:40-05:00,2.52
adverse,IPsec,classic,handshake_ms,1991.51,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:31:11-05:00,2.52
adverse,IPsec,classic,handshake_ms,1989.87,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:27:42-05:00,2.51
highlat,OpenVPN,hybrid,latency_ms,2547.13,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-26T00:16:47-05:00,2.51
highlat,OpenVPN,hybrid,latency_ms,2546.64,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-26T10:10:43-05:00,2.51
adverse,IPsec,classic,handshake_ms,1984.36,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:54:43-05:00,2.51
adverse,IPsec,classic,handshake_ms,1981.4,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:47:26-05:00,2.5
adverse,IPsec,classic,handshake_ms,1978.77,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:40:14-05:00,2.5
highlat,OpenVPN,hybrid,latency_ms,2513.38,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-25T22:09:20-05:00,2.47
highlat,OpenVPN,hybrid,latency_ms,2510.41,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-25T21:54:27-05:00,2.47
local,WireGuard,hybrid,latency_ms,13.42,4.99,5.46,0.47,0.25,10.2,5.47,5.19,2025-10-26T12:37:16-05:00,2.45
highlat,OpenVPN,hybrid,latency_ms,2465.18,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-25T22:38:10-05:00,2.43
adverse,IPsec,hybrid,handshake_ms,2007.9,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T08:59:57-05:00,2.43
local,WireGuard,hybrid,latency_ms,13.24,4.99,5.46,0.47,0.25,10.2,5.47,5.19,2025-10-26T12:36:46-05:00,2.42
realistic,IPsec,hybrid,handshake_ms,30290.56,323.33,343.65,20.32,120.18,546.8,12560.19,332.37,2025-10-27T03:07:19-05:00,2.41
adverse,IPsec,hybrid,handshake_ms,1992.9,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T09:07:18-05:00,2.41
highlat,OpenVPN,hybrid,latency_ms,2436.26,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-25T22:19:04-05:00,2.4
adverse,IPsec,hybrid,handshake_ms,1983.88,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T10:39:40-05:00,2.4
adverse,IPsec,hybrid,handshake_ms,1982.58,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T10:56:54-05:00,2.4
adverse,IPsec,hybrid,handshake_ms,1981.06,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T10:52:20-05:00,2.39
adverse,IPsec,hybrid,handshake_ms,1979.6,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T09:54:33-05:00,2.39
adverse,IPsec,hybrid,handshake_ms,1977.56,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T11:09:33-05:00,2.39
adverse,IPsec,hybrid,handshake_ms,1975.57,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T11:32:40-05:00,2.39
local,IPsec,hybrid,latency_ms,10.58,4.19,4.57,0.38,0.39,8.37,4.45,4.38,2025-10-26T23:51:26-05:00,2.38
adverse,IPsec,hybrid,handshake_ms,1965.6,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T09:23:49-05:00,2.37
adverse,IPsec,hybrid,handshake_ms,1963.73,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T09:56:59-05:00,2.37
adverse,IPsec,hybrid,handshake_ms,1963.05,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T09:31:46-05:00,2.37
adverse,IPsec,hybrid,handshake_ms,1962.48,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T12:56:13-05:00,2.37
adverse,IPsec,hybrid,handshake_ms,1961.74,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T12:05:42-05:00,2.37
local,WireGuard,hybrid,latency_ms,12.92,4.99,5.46,0.47,0.25,10.2,5.47,5.19,2025-10-26T12:16:50-05:00,2.36
adverse,IPsec,hybrid,handshake_ms,1955.33,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T10:34:28-05:00,2.36
adverse,IPsec,hybrid,handshake_ms,1954.85,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T11:42:18-05:00,2.36
adverse,IPsec,hybrid,handshake_ms,1954.26,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T11:01:56-05:00,2.36
adverse,IPsec,hybrid,handshake_ms,1953.19,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T12:10:34-05:00,2.36
adverse,IPsec,hybrid,handshake_ms,1952.56,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T12:26:10-05:00,2.36
local,WireGuard,hybrid,latency_ms,12.89,4.99,5.46,0.47,0.25,10.2,5.47,5.19,2025-10-26T13:00:55-05:00,2.36
adverse,IPsec,hybrid,handshake_ms,1950.16,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T12:44:14-05:00,2.36
adverse,IPsec,hybrid,handshake_ms,1949.86,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T09:03:38-05:00,2.36
adverse,IPsec,hybrid,handshake_ms,1949.75,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T10:45:01-05:00,2.36
adverse,IPsec,hybrid,handshake_ms,1949.68,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T12:52:25-05:00,2.36
adverse,IPsec,hybrid,handshake_ms,1948.98,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T09:38:57-05:00,2.35
adverse,IPsec,hybrid,handshake_ms,1947.26,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T09:11:51-05:00,2.35
adverse,IPsec,hybrid,handshake_ms,1946.92,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T10:20:33-05:00,2.35
adverse,IPsec,hybrid,handshake_ms,1944.3,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T11:53:43-05:00,2.35
highlat,IPsec,classic,handshake_ms,3828.59,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:31:49-05:00,2.35
adverse,IPsec,hybrid,handshake_ms,1943.62,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T12:28:18-05:00,2.35
highlat,IPsec,classic,handshake_ms,3823.15,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:19:07-05:00,2.35
adverse,IPsec,hybrid,handshake_ms,1940.76,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T10:03:04-05:00,2.34
adverse,IPsec,hybrid,handshake_ms,1940.35,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T12:43:36-05:00,2.34
adverse,IPsec,hybrid,handshake_ms,1938.81,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T11:20:19-05:00,2.34
highlat,IPsec,classic,handshake_ms,3816.75,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:24:58-05:00,2.34
highlat,IPsec,classic,handshake_ms,3806.96,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:56:12-05:00,2.34
highlat,OpenVPN,hybrid,latency_ms,2370.35,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-26T00:58:15-05:00,2.33
highlat,IPsec,classic,handshake_ms,3804.78,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:32:43-05:00,2.33
highlat,IPsec,classic,handshake_ms,3799.98,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:30:38-05:00,2.33
adverse,IPsec,hybrid,handshake_ms,1928.16,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T12:57:46-05:00,2.33
highlat,IPsec,classic,handshake_ms,3796.77,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:53:27-05:00,2.33
highlat,IPsec,classic,handshake_ms,3793.85,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:46:46-05:00,2.33
highlat,IPsec,classic,handshake_ms,3792.72,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:51:44-05:00,2.33
highlat,IPsec,classic,handshake_ms,3792.54,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:01:52-05:00,2.33
local,WireGuard,hybrid,latency_ms,12.7,4.99,5.46,0.47,0.25,10.2,5.47,5.19,2025-10-26T11:56:59-05:00,2.32
adverse,IPsec,hybrid,handshake_ms,1923.31,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T12:49:04-05:00,2.32
highlat,OpenVPN,hybrid,latency_ms,2356.73,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-26T00:27:26-05:00,2.32
highlat,IPsec,classic,handshake_ms,3779.86,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:15:24-05:00,2.32
highlat,IPsec,classic,handshake_ms,3779.31,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:43:59-05:00,2.32
highlat,IPsec,classic,handshake_ms,3778.06,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:32:10-05:00,2.32
highlat,IPsec,classic,handshake_ms,3777.43,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:36:25-05:00,2.32
highlat,IPsec,classic,handshake_ms,3777.05,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:10:52-05:00,2.32
highlat,IPsec,classic,handshake_ms,3776.73,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:08:32-05:00,2.32
highlat,IPsec,classic,handshake_ms,3775.66,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:43:35-05:00,2.32
local,WireGuard,hybrid,latency_ms,12.66,4.99,5.46,0.47,0.25,10.2,5.47,5.19,2025-10-26T11:38:45-05:00,2.32
highlat,IPsec,classic,handshake_ms,3775.39,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:32:31-05:00,2.32
highlat,IPsec,classic,handshake_ms,3775.28,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:20:23-05:00,2.32
highlat,IPsec,classic,handshake_ms,3774.82,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T15:00:27-05:00,2.32
highlat,IPsec,classic,handshake_ms,3774.76,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:22:07-05:00,2.32
highlat,IPsec,classic,handshake_ms,3773.58,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:41:57-05:00,2.31
highlat,IPsec,classic,handshake_ms,3772.81,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:48:07-05:00,2.31
highlat,IPsec,classic,handshake_ms,3771.23,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:56:06-05:00,2.31
highlat,IPsec,classic,handshake_ms,3770.53,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:35:38-05:00,2.31
highlat,IPsec,classic,handshake_ms,3770.07,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:58:59-05:00,2.31
adverse,IPsec,hybrid,handshake_ms,1913.15,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T11:00:05-05:00,2.31
highlat,IPsec,classic,handshake_ms,3766.45,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:25:26-05:00,2.31
highlat,IPsec,classic,handshake_ms,3764.82,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:38:15-05:00,2.31
highlat,IPsec,classic,handshake_ms,3764.56,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:55:48-05:00,2.31
highlat,OpenVPN,hybrid,latency_ms,2345.04,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-26T09:48:10-05:00,2.31
highlat,IPsec,classic,handshake_ms,3762.66,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:58:33-05:00,2.31
highlat,IPsec,classic,handshake_ms,3762.31,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T15:04:01-05:00,2.31
highlat,IPsec,classic,handshake_ms,3759.25,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:09:41-05:00,2.31
highlat,IPsec,classic,handshake_ms,3758.83,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:40:55-05:00,2.31
highlat,IPsec,classic,handshake_ms,3757.95,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:51:12-05:00,2.31
highlat,IPsec,classic,handshake_ms,3757.28,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:58:52-05:00,2.3
highlat,IPsec,classic,handshake_ms,3756.92,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:37:14-05:00,2.3
highlat,IPsec,classic,handshake_ms,3756.27,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:48:36-05:00,2.3
highlat,IPsec,classic,handshake_ms,3756.07,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:57:53-05:00,2.3
highlat,IPsec,classic,handshake_ms,3755.9,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:11:26-05:00,2.3
highlat,IPsec,classic,handshake_ms,3755.68,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:56:45-05:00,2.3
highlat,IPsec,classic,handshake_ms,3753.84,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:31:25-05:00,2.3
highlat,IPsec,classic,handshake_ms,3753.7,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:33:29-05:00,2.3
highlat,IPsec,classic,handshake_ms,3753.09,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:19:24-05:00,2.3
highlat,IPsec,classic,handshake_ms,3752.68,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:46:21-05:00,2.3
highlat,IPsec,classic,handshake_ms,3751.97,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:19:43-05:00,2.3
highlat,IPsec,classic,handshake_ms,3751.36,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:48:50-05:00,2.3
highlat,IPsec,classic,handshake_ms,3751.21,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:52:13-05:00,2.3
highlat,IPsec,classic,handshake_ms,3750.32,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T15:03:16-05:00,2.3
highlat,IPsec,classic,handshake_ms,3749.06,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T15:01:22-05:00,2.3
highlat,IPsec,classic,handshake_ms,3748.81,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:16:40-05:00,2.3
highlat,IPsec,classic,handshake_ms,3748.24,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:54:20-05:00,2.3
highlat,IPsec,classic,handshake_ms,3747.85,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:52:03-05:00,2.3
highlat,IPsec,classic,handshake_ms,3747.17,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:06:55-05:00,2.3
highlat,IPsec,classic,handshake_ms,3746.68,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:40:38-05:00,2.3
highlat,IPsec,classic,handshake_ms,3746.31,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:20:41-05:00,2.3
highlat,IPsec,classic,handshake_ms,3745.96,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:26:30-05:00,2.3
highlat,IPsec,classic,handshake_ms,3745.07,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:55:55-05:00,2.3
highlat,IPsec,classic,handshake_ms,3744.72,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:58:27-05:00,2.3
highlat,IPsec,classic,handshake_ms,3742.71,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:35:13-05:00,2.3
highlat,IPsec,classic,handshake_ms,3742.48,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:56:54-05:00,2.3
highlat,IPsec,classic,handshake_ms,3742.45,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:45:27-05:00,2.3
highlat,IPsec,classic,handshake_ms,3740.93,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:02:16-05:00,2.29
highlat,IPsec,classic,handshake_ms,3739.97,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:32:14-05:00,2.29
highlat,IPsec,classic,handshake_ms,3739.96,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:49:15-05:00,2.29
highlat,OpenVPN,hybrid,latency_ms,2329.57,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-25T22:35:44-05:00,2.29
highlat,IPsec,classic,handshake_ms,3739.45,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:49:32-05:00,2.29
highlat,IPsec,classic,handshake_ms,3738.52,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:25:29-05:00,2.29
highlat,IPsec,classic,handshake_ms,3737.23,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:43:50-05:00,2.29
highlat,IPsec,classic,handshake_ms,3736.93,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:22:55-05:00,2.29
highlat,IPsec,classic,handshake_ms,3736.63,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:57:09-05:00,2.29
highlat,IPsec,classic,handshake_ms,3735.65,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:40:31-05:00,2.29
highlat,IPsec,classic,handshake_ms,3735.45,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:36:49-05:00,2.29
highlat,IPsec,classic,handshake_ms,3730.94,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:59:17-05:00,2.29
highlat,IPsec,classic,handshake_ms,3728.5,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:52:33-05:00,2.29
highlat,IPsec,classic,handshake_ms,3727.33,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:35:49-05:00,2.29
highlat,IPsec,classic,handshake_ms,3713.2,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:46:09-05:00,2.28
highlat,IPsec,classic,handshake_ms,3711.92,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:51:40-05:00,2.28
highlat,IPsec,classic,handshake_ms,3711.17,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:00:43-05:00,2.28
highlat,IPsec,classic,handshake_ms,3699.84,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:39:17-05:00,2.27
highlat,IPsec,classic,handshake_ms,3696.08,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:40:06-05:00,2.27
highlat,OpenVPN,hybrid,latency_ms,2286.63,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-25T22:31:12-05:00,2.25
highlat,OpenVPN,hybrid,latency_ms,2262.55,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-25T23:30:09-05:00,2.23
highlat,OpenVPN,hybrid,latency_ms,2250.45,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-25T22:12:33-05:00,2.22
local,WireGuard,hybrid,latency_ms,12.09,4.99,5.46,0.47,0.25,10.2,5.47,5.19,2025-10-26T12:50:42-05:00,2.21
highlat,OpenVPN,hybrid,latency_ms,2240.08,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-26T00:15:02-05:00,2.21
highlat,OpenVPN,hybrid,latency_ms,2232.93,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-26T00:39:07-05:00,2.2
highlat,OpenVPN,hybrid,latency_ms,2228.57,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-25T23:51:58-05:00,2.19
local,OpenVPN,classic,latency_ms,11.74,5.08,5.49,0.4,1.05,9.52,5.35,5.29,2025-10-24T11:48:03-05:00,2.19
highlat,OpenVPN,hybrid,latency_ms,2214.51,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-25T22:54:52-05:00,2.18
highlat,OpenVPN,hybrid,latency_ms,2192.44,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-26T00:59:32-05:00,2.16
local,WireGuard,hybrid,latency_ms,11.71,4.99,5.46,0.47,0.25,10.2,5.47,5.19,2025-10-26T13:02:09-05:00,2.14
local,WireGuard,hybrid,latency_ms,11.6,4.99,5.46,0.47,0.25,10.2,5.47,5.19,2025-10-26T13:14:50-05:00,2.12
highlat,OpenVPN,hybrid,latency_ms,2154.15,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-26T00:11:51-05:00,2.12
local,WireGuard,hybrid,latency_ms,11.56,4.99,5.46,0.47,0.25,10.2,5.47,5.19,2025-10-26T12:54:03-05:00,2.12
local,IPsec,classic,latency_ms,9.42,4.32,4.68,0.36,0.76,8.24,4.55,4.51,2025-10-25T00:03:21-05:00,2.07
local,WireGuard,hybrid,latency_ms,11.22,4.99,5.46,0.47,0.25,10.2,5.47,5.19,2025-10-26T12:46:28-05:00,2.05
highlat,OpenVPN,hybrid,latency_ms,2082.72,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-26T09:59:29-05:00,2.05
highlat,OpenVPN,hybrid,latency_ms,2080.68,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-25T23:24:46-05:00,2.05
highlat,OpenVPN,hybrid,latency_ms,2076.48,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-26T09:38:18-05:00,2.04
highlat,OpenVPN,hybrid,latency_ms,2075.75,904.83,1006.37,101.55,-110.66,2021.86,1015.57,942.83,2025-10-26T09:51:22-05:00,2.04
local,OpenVPN,hybrid,latency_ms,16.14,7.55,8.24,0.69,0.67,15.12,7.98,7.85,2025-10-25T16:34:43-05:00,2.02
local,OpenVPN,hybrid,latency_ms,15.99,7.55,8.24,0.69,0.67,15.12,7.98,7.85,2025-10-25T16:55:17-05:00,2.0
local,WireGuard,hybrid,latency_ms,10.85,4.99,5.46,0.47,0.25,10.2,5.47,5.19,2025-10-26T13:03:47-05:00,1.99
local,OpenVPN,hybrid,latency_ms,15.84,7.55,8.24,0.69,0.67,15.12,7.98,7.85,2025-10-25T16:50:22-05:00,1.98
local,WireGuard,classic,latency_ms,10.5,5.01,5.42,0.42,0.85,9.58,5.31,5.22,2025-10-24T08:47:39-05:00,1.98
local,OpenVPN,hybrid,latency_ms,15.75,7.55,8.24,0.69,0.67,15.12,7.98,7.85,2025-10-25T16:30:22-05:00,1.97
local,WireGuard,hybrid,latency_ms,10.72,4.99,5.46,0.47,0.25,10.2,5.47,5.19,2025-10-26T12:04:27-05:00,1.96
adverse,WireGuard,hybrid,handshake_ms,12803.69,6209.71,6392.98,183.27,4376.96,8225.73,6627.58,6330.68,2025-10-26T17:51:15-05:00,1.93
local,OpenVPN,hybrid,latency_ms,15.42,7.55,8.24,0.69,0.67,15.12,7.98,7.85,2025-10-25T16:35:24-05:00,1.93
local,WireGuard,hybrid,latency_ms,10.56,4.99,5.46,0.47,0.25,10.2,5.47,5.19,2025-10-26T12:27:46-05:00,1.93
local,WireGuard,hybrid,latency_ms,10.46,4.99,5.46,0.47,0.25,10.2,5.47,5.19,2025-10-26T12:12:14-05:00,1.91
local,WireGuard,hybrid,latency_ms,10.41,4.99,5.46,0.47,0.25,10.2,5.47,5.19,2025-10-26T12:54:44-05:00,1.9
local,OpenVPN,classic,latency_ms,10.13,5.08,5.49,0.4,1.05,9.52,5.35,5.29,2025-10-24T11:58:22-05:00,1.89
local,WireGuard,hybrid,latency_ms,10.32,4.99,5.46,0.47,0.25,10.2,5.47,5.19,2025-10-26T12:33:06-05:00,1.89
local,WireGuard,hybrid,latency_ms,10.23,4.99,5.46,0.47,0.25,10.2,5.47,5.19,2025-10-26T11:37:51-05:00,1.87
adverse,WireGuard,hybrid,handshake_ms,11847.6,6209.71,6392.98,183.27,4376.96,8225.73,6627.58,6330.68,2025-10-26T17:47:33-05:00,1.79
adverse,WireGuard,hybrid,handshake_ms,11780.47,6209.71,6392.98,183.27,4376.96,8225.73,6627.58,6330.68,2025-10-26T17:54:34-05:00,1.78
adverse,WireGuard,hybrid,handshake_ms,11753.77,6209.71,6392.98,183.27,4376.96,8225.73,6627.58,6330.68,2025-10-26T17:41:48-05:00,1.77
adverse,WireGuard,hybrid,handshake_ms,11746.76,6209.71,6392.98,183.27,4376.96,8225.73,6627.58,6330.68,2025-10-26T18:13:10-05:00,1.77
adverse,WireGuard,hybrid,handshake_ms,11730.15,6209.71,6392.98,183.27,4376.96,8225.73,6627.58,6330.68,2025-10-26T18:06:19-05:00,1.77
adverse,WireGuard,hybrid,handshake_ms,11719.31,6209.71,6392.98,183.27,4376.96,8225.73,6627.58,6330.68,2025-10-26T17:47:16-05:00,1.77
adverse,WireGuard,hybrid,handshake_ms,11711.77,6209.71,6392.98,183.27,4376.96,8225.73,6627.58,6330.68,2025-10-26T16:51:32-05:00,1.77
adverse,WireGuard,hybrid,handshake_ms,11704.35,6209.71,6392.98,183.27,4376.96,8225.73,6627.58,6330.68,2025-10-26T16:52:15-05:00,1.77
adverse,WireGuard,hybrid,handshake_ms,11690.94,6209.71,6392.98,183.27,4376.96,8225.73,6627.58,6330.68,2025-10-26T16:13:46-05:00,1.76
adverse,WireGuard,hybrid,handshake_ms,11690.17,6209.71,6392.98,183.27,4376.96,8225.73,6627.58,6330.68,2025-10-26T17:28:10-05:00,1.76
