cond_profile,protocol,scheme,metric,value,Q1,Q3,IQR,lower_bound,upper_bound,group_mean,group_median,timestamp,ratio_to_mean
highlat,IPsec,classic,handshake_ms,7993.29,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:22:36-05:00,4.9
highlat,IPsec,classic,handshake_ms,7975.74,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:21:08-05:00,4.89
highlat,IPsec,classic,handshake_ms,7959.56,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:59:56-05:00,4.88
adverse,IPsec,classic,handshake_ms,3467.67,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:11:44-05:00,4.38
adverse,IPsec,classic,handshake_ms,3460.31,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:13:19-05:00,4.37
adverse,IPsec,classic,handshake_ms,3447.81,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:54:12-05:00,4.36
highlat,IPsec,classic,handshake_ms,6675.6,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:44:28-05:00,4.09
highlat,IPsec,classic,handshake_ms,6654.41,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:03:55-05:00,4.08
highlat,IPsec,classic,handshake_ms,6639.92,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:18:35-05:00,4.07
highlat,IPsec,classic,handshake_ms,6632.09,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:55:33-05:00,4.07
highlat,IPsec,classic,handshake_ms,6595.74,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:29:05-05:00,4.05
highlat,IPsec,classic,handshake_ms,6582.98,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:27:33-05:00,4.04
highlat,IPsec,classic,handshake_ms,6579.56,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:17:15-05:00,4.04
